numid,number
0,17
1,13
2,11
3,17
4,18
5,8
6,15
7,19
8,16
9,17
10,13
11,6
12,20
13,16
14,26
15,10
16,14
17,9
18,10
19,5
20,19
21,21
22,14
23,3
24,16
25,9
26,24
27,18
28,17
29,13
30,7
31,11
32,14
33,23
34,21
35,15
36,8
37,22
38,17
39,7
40,15
41,9
42,19
43,15
44,7
45,13
46,12
47,21
48,11
49,9
50,13
