numid,number
0,18
1,22
2,17
3,23
4,19
5,10
6,19
7,25
8,23
9,23
10,15
11,8
12,21
13,19
14,28
15,19
16,15
17,13
18,22
19,8
20,21
21,23
22,16
23,14
24,20
25,11
26,28
27,19
28,18
29,23
30,8
31,21
32,15
33,25
34,27
35,19
36,10
37,26
38,23
39,10
40,18
41,13
42,21
43,22
44,9
45,16
46,14
47,27
48,14
49,18
50,23
