numid,number
0,8
1,3
2,2
3,3
4,3
5,1
6,6
7,5
8,4
9,1
10,6
11,4
12,13
13,8
14,21
15,1
16,6
17,2
18,1
19,2
20,10
21,7
22,5
23,1
24,11
25,5
26,4
27,4
28,3
29,2
30,2
31,3
32,1
33,1
34,15
35,3
36,2
37,4
38,8
39,4
40,3
41,4
42,9
43,9
44,1
45,2
46,1
47,9
48,6
49,5
50,2
