numid,number
0,27
1,25
2,29
3,30
4,31
5,24
6,31
7,29
8,29
9,31
10,33
11,18
12,27
13,32
14,32
15,28
16,23
17,32
18,32
19,30
20,30
21,33
22,21
23,33
24,31
25,25
26,33
27,32
28,25
29,28
30,27
31,33
32,31
33,29
34,33
35,27
36,17
37,30
38,33
39,22
40,33
41,33
42,29
43,26
44,20
45,32
46,25
47,30
48,32
49,31
50,26
