numid,number
0,20
1,23
2,18
3,27
4,21
5,12
6,20
7,26
8,28
9,25
10,32
11,9
12,22
13,26
14,31
15,26
16,19
17,28
18,31
19,11
20,24
21,31
22,18
23,19
24,24
25,19
26,30
27,26
28,24
29,27
30,20
31,30
32,18
33,28
34,30
35,20
36,11
37,29
38,32
39,12
40,21
41,28
42,23
43,24
44,10
45,23
46,18
47,29
48,27
49,23
50,24
