numid,number
0,13
1,9
2,10
3,15
4,6
5,7
6,8
7,15
8,14
9,7
10,10
11,5
12,17
13,12
14,22
15,5
16,10
17,6
18,7
19,4
20,13
21,10
22,7
23,2
24,15
25,7
26,5
27,11
28,11
29,12
30,5
31,7
32,10
33,8
34,16
35,13
36,6
37,19
38,11
39,5
40,13
41,8
42,15
43,11
44,5
45,10
46,7
47,12
48,7
49,6
50,9
